"lon","lat"
-78.318289,7.811147
-78.319462,7.813201
-78.320635,7.815841
-78.321809,7.818188
-78.322396,7.820535
-78.323569,7.822882
-78.325036,7.824935
-78.326209,7.827282
-78.327383,7.829042
-78.328849,7.831389
-78.330023,7.833442
-78.331196,7.835789
-78.33237,7.838136
-78.333543,7.840189
-78.334423,7.84283
-78.335596,7.845176
-78.336183,7.847817
-78.33677,7.85075
-78.33765,7.853097
-78.338237,7.855737
-78.33941,7.858377
-78.340583,7.860138
-78.34205,7.862484
-78.34293,7.864831
-78.344104,7.866885
-78.345864,7.868645
-78.347917,7.870698
-78.349677,7.871872
-78.352024,7.873339
-78.353491,7.875099
-78.355545,7.876272
-78.357305,7.878032
-78.359065,7.879792
-78.361412,7.880966
-78.363465,7.881846
-78.365812,7.883606
-78.367572,7.885366
-78.369332,7.886539
-78.371972,7.887713
-78.373733,7.889473
-78.375493,7.89094
-78.377253,7.8927
-78.379306,7.89446
-78.380773,7.89622
-78.382533,7.89798
-78.384293,7.89974
-78.38576,7.901794
-78.386933,7.903847
-78.3884,7.905901
-78.389867,7.907954
-78.390454,7.910301
-78.391627,7.912648
-78.392214,7.915582
-78.393387,7.917928
-78.394267,7.920275
-78.395147,7.922915
-78.396027,7.925262
-78.396614,7.928196
-78.397494,7.930836
-78.398081,7.933476
-78.398668,7.936116
-78.399548,7.938757
-78.400134,7.94169
-78.400721,7.944037
-78.402188,7.94609
-78.403361,7.948731
-78.404241,7.951077
-78.405415,7.953131
-78.406882,7.955184
-78.408348,7.957238
-78.410108,7.959291
-78.410695,7.961345
-78.412162,7.963692
-78.412749,7.966332
-78.413922,7.969265
-78.414215,7.972199
-78.414215,7.975426
-78.414215,7.978946
-78.414509,7.98188
-78.413922,7.9854
-78.413042,7.987747
-78.412162,7.99068
-78.411575,7.99332
-78.410989,7.996254
-78.410695,7.999481
-78.410695,8.002708
-78.410695,8.006228
-78.411575,8.008575
-78.412455,8.011215
-78.413629,8.013562
-78.414802,8.015615
-78.416269,8.017669
-78.417442,8.019722
-78.418909,8.022069
-78.420669,8.023536
-78.421843,8.025883
-78.423309,8.027643
-78.42507,8.029403
-78.426243,8.03175
-78.427123,8.033803
-78.42859,8.03615
-78.430057,8.038204
-78.430937,8.040551
-78.431523,8.043191
-78.432403,8.045831
-78.432697,8.048764
-78.43299,8.051991
-78.43299,8.055218
-78.432403,8.058445
-78.431817,8.061085
-78.431523,8.064312
-78.43123,8.067246
-78.43035,8.069886
-78.42947,8.072819
-78.42859,8.07546
-78.42771,8.077807
-78.426243,8.080153
-78.425656,8.0825
-78.424483,8.08514
-78.423016,8.0869
-78.421549,8.089247
-78.420376,8.091007
-78.418322,8.092768
-78.416856,8.094821
